Temperatur;Heat high [MWh/m2];Heat Medium (bu6);Heat Low;Base demand;Wind Onshore;Wind Offshore;PV;WW
-1.9;4.69888E-05;1.09284E-05;0;31922.00166;0.2625;0.7028;0;0.00000027
-1.9;5.24873E-05;1.49773E-05;0;30405.00166;0.2703;0.7601;0;0.00000027
-1.7;5.29354E-05;1.54233E-05;0;29728.00166;0.2852;0.8134;0;0.00000027
-1.5;5.33067E-05;1.58206E-05;0;29840.00166;0.3023;0.8252;0;0.00000027
-1.3;5.35994E-05;1.61686E-05;0;29510.00166;0.304;0.8247;0;0.00000027
-1.2;9.26847E-05;4.54334E-05;1.33667E-05;28097.00166;0.3169;0.834;0;0.00000027
-1.1;8.50473E-05;3.92094E-05;9.00022E-06;34784.71331;0.3385;0.8366;0;0.00000227
-1;8.25388E-05;3.67827E-05;7.99703E-06;36010.42661;0.3528;0.8367;0;0.00000454
-0.8;8.55716E-05;4.00489E-05;9.33791E-06;39020.71331;0.3518;0.832;0.0046;0.00000227
-0.9;8.51867E-05;3.98202E-05;9.06228E-06;45152.94844;0.3451;0.8136;0.0306;0.00000135
-0.9;8.47396E-05;3.95129E-05;8.82188E-06;50702.94844;0.3391;0.8173;0.0592;0.00000135
-0.9;8.30376E-05;3.79236E-05;7.55867E-06;53127.66175;0.3315;0.8054;0.0808;0.00000362
-0.9;8.18151E-05;3.67259E-05;6.9576E-06;52726.42661;0.3091;0.7943;0.0975;0.00000454
-0.9;8.35182E-05;3.84101E-05;8.03942E-06;50868.71331;0.2877;0.772;0.1009;0.00000227
-0.9;8.3645E-05;3.8485E-05;8.24634E-06;50278.94844;0.2682;0.7362;0.0771;0.00000135
-1;8.36589E-05;3.83848E-05;8.18316E-06;49816.94844;0.2459;0.7472;0.0314;0.00000135
-1.1;7.99042E-05;3.44773E-05;6.49097E-06;50833.66175;0.2532;0.7544;0.002;0.00000362
-1.2;7.83782E-05;3.28609E-05;5.81735E-06;54515.80905;0.2704;0.7124;0;0.000005
-1.3;7.84198E-05;3.2804E-05;5.7468E-06;55413.04418;0.2806;0.6852;0;0.00000408
-1.4;7.84967E-05;3.27747E-05;5.68858E-06;54414.66175;0.2933;0.696;0;0.00000362
-1.6;8.22691E-05;3.63733E-05;7.00661E-06;52264.94844;0.2838;0.6325;0;0.00000135
-1.8;8.16163E-05;3.5534E-05;6.53038E-06;50702.94844;0.2596;0.5211;0;0.00000135
-2.1;4.33413E-05;6.8682E-06;0;41431.19741;0.2386;0.5414;0;0.00000135
-2.1;5.22486E-05;1.42949E-05;0;37810.03865;0.2295;0.5639;0;0.00000027
-2;4.7853E-05;1.11873E-05;0;35424.03865;0.2184;0.5363;0;0.00000027
-2;5.33208E-05;1.52014E-05;0;33503.03865;0.2068;0.4638;0;0.00000027
-2.2;5.43821E-05;1.60474E-05;0;33154.03865;0.1916;0.4639;0;0.00000027
-2.6;5.57358E-05;1.70588E-05;0;34072.03865;0.1655;0.3761;0;0.00000027
